File: 	C:\Users\Johns\OneDrive\Pictures\Documents\FLIR\photo 2.jpg																																																																											
																																																																												
Parameters:	Emissivity:	0.83																																																																										
	Refl. temp.:	295.1 K																																																																										
	Distance:	72.47 mm																																																																										
	Atmospheric temp.:	293.1 K																																																																										
	Ext. optics temp.:	293.1 K																																																																										
	Ext. optics trans.:	1																																																																										
	Relative humidity:	50%																																																																										
																																																																												
Li2																																																																												
																																																																												
Parameters:	Emissivity:	0.83																																																																										
	Refl. temp.:	295.1 K																																																																										
	Distance:	0 m																																																																										
																																																																												
Frame 1	330.972	335.246	338.897	340.102	340.859	341.471	342.363	343.009	343.993	344.652	345.676	346.683	347.322	348.466	349.408	350.296	351.563	352.811	353.871	355.412	356.679	357.614	358.884	360.372	361.568	363.384	364.907	366.585	368.256	370.242	371.89	373.796	376.044	378.06	380.105	382.512	384.69	387.14	389.664	392.051	394.979	398.006	400.836	404.221	407.725	414.191	425.425	434.987	442.832	445.537	446.008	446.109	446.165	446.165	446.272	446.272	446.378	446.516	446.635	447.48	448.136	448.211	448.46	447.38	446.548	444.718	439.82	431.731	418.044	408.348	399.706	399.781	406.184	403.905	396.444	383.515
